Date,Open,High,Low,Close,Volume,Adj Close
1993-03-12,16.42,16.85,16.42,16.42,9700,11.18
1993-03-11,16.42,17.06,16.42,17.06,4900,11.61
1993-03-10,16.42,17.06,16.42,16.42,2100,11.18
1993-03-09,16.42,17.06,16.42,16.42,2200,11.18
1993-03-08,16.85,17.06,16.42,16.63,8400,11.32
1993-03-05,16.21,16.63,16.00,16.63,41800,11.32
1993-03-04,15.79,16.21,15.79,16.21,3300,11.03
1993-03-03,16.00,16.21,15.79,15.79,25300,10.75
1993-03-02,15.37,15.37,14.95,14.95,11700,10.18
1993-03-01,15.27,15.27,14.74,14.74,22800,10.03
1993-02-26,15.37,15.37,15.16,15.37,2000,10.46
1993-02-25,14.74,15.37,14.74,15.37,1800,10.46
1993-02-24,14.74,15.16,14.74,15.16,1100,10.32
1993-02-23,14.74,15.37,14.74,14.74,1800,10.03
1993-02-22,15.37,15.58,14.84,14.84,11600,10.10
1993-02-19,15.79,15.79,15.37,15.37,4400,10.46
1993-02-18,15.79,16.00,15.37,15.37,9600,10.46
1993-02-17,16.03,16.03,15.61,16.03,2100,10.76
1993-02-16,16.44,16.44,15.61,15.61,7600,10.48
1993-02-12,15.82,16.44,15.82,16.24,2000,10.90
1993-02-11,16.44,16.44,15.82,16.44,1600,11.04
1993-02-10,16.03,16.44,15.82,15.82,8300,10.62
1993-02-09,16.03,16.65,15.61,16.03,24800,10.76
1993-02-08,16.03,16.03,15.61,16.03,5100,10.76
1993-02-05,15.61,16.03,15.61,16.03,25600,10.76
1993-02-04,15.40,16.03,15.40,16.03,20300,10.76
1993-02-03,15.82,15.82,15.40,15.82,4100,10.62
1993-02-02,15.82,15.82,15.40,15.61,3100,10.48
1993-02-01,15.40,15.82,15.40,15.40,6600,10.34
1993-01-29,15.82,15.82,15.40,15.82,5800,10.62
1993-01-28,15.82,15.82,15.82,15.82,1000,10.62
1993-01-27,15.82,15.82,15.20,15.82,4400,10.62
1993-01-26,15.20,15.72,15.20,15.72,5500,10.55
1993-01-25,15.82,15.82,15.82,15.82,200,10.62
1993-01-22,15.82,15.82,15.20,15.82,1800,10.62
1993-01-21,15.61,15.82,15.20,15.20,20900,10.20
1993-01-20,16.44,16.44,15.61,16.03,20500,10.76
1993-01-19,15.82,16.44,15.40,15.82,24500,10.62
1993-01-18,14.57,15.82,14.57,15.20,38200,10.20
1993-01-15,14.57,15.20,14.57,14.57,4800,9.78
1993-01-14,15.20,15.20,14.57,14.57,3000,9.78
1993-01-13,14.57,14.99,14.36,14.78,15000,9.92
1993-01-12,14.15,14.57,14.15,14.36,7800,9.64
1993-01-11,14.57,14.57,14.15,14.57,6000,9.78
1993-01-08,14.57,14.57,14.36,14.36,5000,9.64
1993-01-07,14.78,14.78,14.36,14.57,22300,9.78
1993-01-06,14.36,14.78,14.36,14.36,7200,9.64
1993-01-05,14.99,14.99,14.36,14.36,13500,9.64
1993-01-04,15.20,15.20,14.57,14.99,12700,10.06
1992-12-31,14.47,15.20,14.36,15.20,28400,10.20
1992-12-30,14.15,14.57,14.15,14.15,24200,9.50
1992-12-29,13.95,14.57,13.95,14.15,9300,9.50
1992-12-28,14.15,14.78,13.95,14.57,10000,9.78
1992-12-24,14.57,14.99,14.57,14.57,16200,9.78
1992-12-23,14.57,14.99,14.57,14.57,2100,9.78
1992-12-22,14.99,14.99,14.57,14.57,3700,9.78
1992-12-21,14.78,14.99,14.57,14.99,9400,10.06
1992-12-18,14.57,14.78,14.36,14.36,4800,9.64
1992-12-17,14.57,14.78,14.36,14.57,6600,9.78
1992-12-16,14.78,15.20,14.36,14.36,17800,9.64
1992-12-15,15.20,15.40,14.78,14.78,12400,9.92
1992-12-14,14.36,14.99,14.36,14.99,19300,10.06
1992-12-11,14.36,14.78,14.36,14.78,4800,9.92
1992-12-10,14.36,14.57,13.95,14.57,7000,9.78
1992-12-09,14.36,14.36,13.95,14.36,3900,9.64
1992-12-08,13.95,14.57,13.95,13.95,4500,9.36
1992-12-07,14.15,14.57,13.53,14.36,15900,9.64
1992-12-04,13.53,14.15,13.53,13.53,4500,9.08
1992-12-03,13.53,14.15,13.53,13.53,8400,9.08
1992-12-02,13.53,14.15,13.32,13.53,13800,9.08
1992-12-01,13.74,13.74,13.11,13.11,6300,8.80
1992-11-30,13.74,13.74,13.11,13.74,5300,9.22
1992-11-27,13.53,13.53,13.53,13.53,2100,9.08
1992-11-25,13.32,13.53,12.91,13.11,7100,8.80
1992-11-24,12.91,13.32,12.91,13.32,6300,8.94
